company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru
NESTLE;SORVETES NESTLÉ;"intext:""SORVETES NESTLÉ"" OR intext:""SORVETES NESTLE""";No;No;Si;No;No;No;No;No
NESTLE;STAMARIA;"(intext:""STA.MARÍA"" OR intext:""STA. MARÍA"" OR intext:""STA MARIA"") AND intext:""agua"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;SUBLIME;"intext:""SUBLIME"" AND (intext:""chocolate"" OR intext:""chocolates"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"") -""caja roja""";No;No;No;No;No;Si;No;No
NESTLE;SUFLAIR;"intext:""SUFLAIR""";Si;No;Si;No;No;No;No;No
NESTLE;SVELTY;"intext:""SVELTY""";Si;No;No;Si;No;Si;No;No
NESTLE;TALENTO;"intext:""TALENTO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;TASTERS;"(intext:""TASTERS CHOICE"" OR intext:""TASTER'S CHOICE"" OR intext:""TASTERSCHOICE"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;TERRAFERTIL;"intext:""TERRAFERTIL"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;No;No;No;No
NESTLE;TIDY CATS;"intext:""TIDY CATS"" OR intext:""TIDYCATS""";No;No;Si;No;No;No;No;No
NESTLE;TINLARIN;"(intext:""TINLARIN"" OR intext:""TIN LARIN"" OR intext:""TINLARÍN"" OR intext:""TIN LARÍN"") AND (intext:""chocolate"" OR intext:""chocolates"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;TOP;"intext:""TOP"" AROUND(3) (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;Si
NESTLE;TOSTINES;"intext:""TOSTINES"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;No;No;No;No
NESTLE;TRENCITO;"intext:""TRENCITO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;Si;No;No;No
NESTLE;TRIÁNGULO;"(intext:""TRIÁNGULO"" OR intext:""TRIANGULO"") AND (intext:""chocolate"" OR intext:""chocolates"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;Si
NESTLE;TRITON;"(intext:""TRITON"" OR intext:""TRITÓN"") AND (intext:""galleta"" OR intext:""galletas"" OR intext:""galletitas"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;Si;No;No;No;No
