company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru;;
COCA COLA;TOPO CHICO;"intext:""TOPO CHICO"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;Si;Si;No;No;Si;No;;
COCA COLA;INCA COLA;"intext:""INCA COLA"" OR intext:""INCA KOLA""";No;No;No;Si;No;No;No;Si;;
COCA COLA;QUATRO;"intext:""QUATRO"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;Si;Si;No;No;No;;
COCA COLA;ANDINA DEL VALLE;"intext:""ANDINA DEL VALLE"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;Si;No;No;No;No;;
COCA COLA;BENEDICTINO;"intext:""BENEDICTINO"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;Si;No;No;No;Si;;
COCA COLA;NORDIC;"intext:""NORDIC"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;Si;No;No;No;No;;
COCA COLA;KAPO;"intext:""KAPO"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;Si;No;No;No;No;;
COCA COLA;GLACEAU VITAMINWATER;"intext:""GLACEAU VITAMINWATER""";No;No;No;Si;No;No;No;Si;;
COCA COLA;BLAK;"intext:""BLAK"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;Si;No;No;No;No;;
COCA COLA;GLACEAU SMARTWATER;"intext:""GLACEAU SMARTWATER""";No;No;No;Si;No;No;No;No;;
COCA COLA;FUZE TEA;"intext:""FUZE TEA"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;No;Si;Si;Si;Si;;
COCA COLA;SIDRAL MUNDET;"intext:""SIDRAL MUNDET"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;No;No;Si;No;No;;
COCA COLA;SANTA CLARA;"intext:""SANTA CLARA"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;No;No;No;Si;No;;
COCA COLA;CIEL;"intext:""CIEL"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;No;No;No;Si;No;;
COCA COLA;FIORAVANTI;"intext:""FIORAVANTI"" AND (intext:""COCA COLA"" OR intext:""COCA-COLA"" OR intext:""COCACOLA"")";No;No;No;No;No;No;Si;No;;
COCA COLA;FRUGOS DEL VALLE;"intext:""FRUGOS DEL VALLE""";No;No;No;No;No;No;Si;No;;
